epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,570.761,0.50886,0.78188,0.81474,0.03028,1,0.995,0.89762,0.55691,2.46549,0.80328,0.000331135,0.000331135,0.000331135
67,580.666,0.54155,0.70976,0.8728,0.03028,1,0.995,0.89762,0.55691,2.46549,0.80328,0.000326892,0.000326892,0.000326892
68,589.892,0.51142,0.79203,0.85421,0.03028,1,0.995,0.89762,0.55691,2.46549,0.80328,0.000322367,0.000322367,0.000322367
69,597.683,0.54837,0.6785,0.82315,0.03127,1,0.995,0.89762,0.54113,2.31976,0.7984,0.000317558,0.000317558,0.000317558
70,606.526,0.58382,0.66674,0.83144,0.03127,1,0.995,0.89762,0.54113,2.31976,0.7984,0.000312467,0.000312467,0.000312467
71,614.8,0.51495,0.64986,0.81654,0.03127,1,0.995,0.89762,0.54113,2.31976,0.7984,0.000307092,0.000307092,0.000307092
72,623.162,0.57224,0.65823,0.86186,0.80361,1,0.995,0.87968,0.52188,2.21939,0.79736,0.000301435,0.000301435,0.000301435
73,632.3,0.52941,0.62759,0.80838,0.80361,1,0.995,0.87968,0.52188,2.21939,0.79736,0.000295494,0.000295494,0.000295494
74,639.952,0.56303,0.63447,0.83623,0.80361,1,0.995,0.87968,0.52188,2.21939,0.79736,0.000289271,0.000289271,0.000289271
75,649.146,0.61339,0.89666,0.82,0.90503,0.81368,0.995,0.87968,0.51017,2.13787,0.79461,0.000282765,0.000282765,0.000282765
76,657.04,0.49755,0.6487,0.82143,0.90503,0.81368,0.995,0.87968,0.51017,2.13787,0.79461,0.000275976,0.000275976,0.000275976
77,665.799,0.54801,0.62584,0.81467,0.90503,0.81368,0.995,0.87968,0.51017,2.13787,0.79461,0.000268904,0.000268904,0.000268904
78,675.055,0.48919,0.66052,0.85291,0.9027,0.86668,0.995,0.90916,0.47025,2.0241,0.78663,0.000261548,0.000261548,0.000261548
79,682.704,0.43336,0.63227,0.82774,0.9027,0.86668,0.995,0.90916,0.47025,2.0241,0.78663,0.00025391,0.00025391,0.00025391
80,692.108,0.53407,0.60165,0.82389,0.9027,0.86668,0.995,0.90916,0.47025,2.0241,0.78663,0.000245989,0.000245989,0.000245989
81,699.875,0.51284,0.82726,0.85641,0.89425,0.93313,0.995,0.92521,0.4506,1.86816,0.78536,0.000237786,0.000237786,0.000237786
82,708.649,0.44253,0.55565,0.81363,0.89425,0.93313,0.995,0.92521,0.4506,1.86816,0.78536,0.000229299,0.000229299,0.000229299
83,717.185,0.49384,0.60223,0.83599,0.89425,0.93313,0.995,0.92521,0.4506,1.86816,0.78536,0.000220529,0.000220529,0.000220529
84,725.235,0.43314,0.62059,0.85216,0.88654,0.96536,0.995,0.92799,0.42331,1.73814,0.78558,0.000211476,0.000211476,0.000211476
85,734.484,0.51512,0.59582,0.80283,0.88654,0.96536,0.995,0.92799,0.42331,1.73814,0.78558,0.000202141,0.000202141,0.000202141
86,742.108,0.50885,0.55381,0.8353,0.88654,0.96536,0.995,0.92799,0.42331,1.73814,0.78558,0.000192522,0.000192522,0.000192522
87,751.157,0.51739,0.62525,0.84461,0.88654,0.96536,0.995,0.92799,0.42331,1.73814,0.78558,0.00018262,0.00018262,0.00018262
88,759.361,0.44391,0.62576,0.83506,0.8882,1,0.995,0.93799,0.39566,1.59786,0.78558,0.000172436,0.000172436,0.000172436
89,767.59,0.47368,0.56911,0.80625,0.8882,1,0.995,0.93799,0.39566,1.59786,0.78558,0.000161969,0.000161969,0.000161969
90,776.756,0.47401,0.56848,0.82541,0.8882,1,0.995,0.93799,0.39566,1.59786,0.78558,0.000151218,0.000151218,0.000151218
91,784.59,0.53778,0.7107,0.80057,0.8882,1,0.995,0.93799,0.39566,1.59786,0.78558,0.000140185,0.000140185,0.000140185
92,793.99,0.44247,0.63303,0.79502,0.89829,0.97537,0.995,0.93799,0.37229,1.4877,0.78406,0.000128869,0.000128869,0.000128869
93,802.246,0.41824,0.56668,0.8174,0.89829,0.97537,0.995,0.93799,0.37229,1.4877,0.78406,0.000117269,0.000117269,0.000117269
94,810.661,0.45617,0.58611,0.80109,0.89829,0.97537,0.995,0.93799,0.37229,1.4877,0.78406,0.000105387,0.000105387,0.000105387
95,819.681,0.45844,0.61464,0.8302,0.89829,0.97537,0.995,0.93799,0.37229,1.4877,0.78406,9.32222e-05,9.32222e-05,9.32222e-05
96,827.279,0.42741,0.60421,0.80864,0.89384,0.96927,0.995,0.938,0.3594,1.40714,0.78688,8.07742e-05,8.07742e-05,8.07742e-05
97,836.301,0.43802,0.6323,0.79033,0.89384,0.96927,0.995,0.938,0.3594,1.40714,0.78688,6.80433e-05,6.80433e-05,6.80433e-05
98,843.989,0.42412,0.59466,0.7993,0.89384,0.96927,0.995,0.938,0.3594,1.40714,0.78688,5.50294e-05,5.50294e-05,5.50294e-05
99,852.706,0.43176,0.56251,0.79789,0.89384,0.96927,0.995,0.938,0.3594,1.40714,0.78688,4.17325e-05,4.17325e-05,4.17325e-05
100,861.367,0.39132,0.58288,0.79665,0.88025,0.97005,0.995,0.938,0.35832,1.32631,0.78803,2.81527e-05,2.81527e-05,2.81527e-05
